player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
213.36,118.387512,13.1,8.3,2.6,6,0.187,0.579
205.74,100.243832,2.1,0.8,0.2,-12.2,0.232,0.41
195.58,95.25432,15.2,5.3,3.3,2.6,0.257,0.505
198.12,106.59412,3.3,2.1,0.6,-2.4,0.166,0.471
185.42,83.91452,15.2,3.7,3.1,5.5,0.237,0.561
195.58,90.7184,7.3,3,3.2,2.2,0.184,0.51
203.2,99.79024,4.7,4.6,1.4,5.9,0.103,0.574
187.96,82.553744,4.4,1.7,2.1,-8.7,0.143,0.413
205.74,108.86208,6.9,15.4,1.6,5,0.103,0.486
190.5,101.151016,17.1,3.7,6.4,4.7,0.243,0.5
180.34,81.64656,3.3,0.6,1.3,-4.3,0.213,0.467
208.28,109.769264,5.1,3.2,1.1,3.5,0.193,0.53
220.98,132.448864,6.1,4.3,1.8,8.1,0.195,0.549
205.74,113.398,2.3,2.3,0.2,-15.3,0.204,0.378
210.82,113.398,1,1.5,0,-8.5,0.098,0.4
205.74,104.32616,13.9,8.2,2.5,-3.7,0.214,0.483
198.12,90.7184,3.5,1.7,1.4,-5.4,0.158,0.467
200.66,104.32616,2.4,2,0.5,-0.8,0.129,0.464
215.9,113.398,8.5,7.9,1,11.2,0.167,0.531
213.36,136.0776,1.5,2.7,0.5,-14,0.103,0.356
210.82,104.32616,4,2.9,0.8,6.6,0.156,0.521
187.96,77.11064,2.5,1.1,1.1,-0.1,0.15,0.449
193.04,83.460928,2.2,0.9,1.8,6.8,0.148,0.525
203.2,97.52228,10.8,5.1,2.2,-3.9,0.18,0.519
210.82,106.59412,0,0.4,0.2,12.3,0.118,0
203.2,112.037224,21.6,6.1,5.6,2.6,0.271,0.507
195.58,86.18248,10.7,2.3,4.2,-1.9,0.221,0.496
190.5,88.45044,7.8,3.6,7.5,3.1,0.158,0.468
210.82,117.480328,10.3,8.8,1.1,2.4,0.174,0.541
203.2,98.429464,22.1,4.3,4.8,-6.4,0.274,0.508
210.82,114.305184,5.5,2.7,0.6,-4.2,0.142,0.53
210.82,111.13004,3.8,3.5,0.6,5.8,0.118,0.604
205.74,131.54168,4.2,4.6,0.1,-4.9,0.149,0.523
185.42,86.18248,5.9,1.5,2.9,0,0.151,0.508
187.96,83.91452,8.3,2.3,2.6,-2.1,0.18,0.515
200.66,99.79024,7.7,3.7,1.4,-6.1,0.137,0.557
187.96,83.460928,1.9,0.4,0.8,10.2,0.182,0.528
195.58,83.007336,1.8,0.8,0.7,-1.3,0.14,0.484
187.96,81.64656,9.1,2.3,5.4,-2.8,0.171,0.552
208.28,111.13004,5.2,1.6,1.4,-7.1,0.142,0.52
208.28,99.79024,6.7,2.8,1.3,-1.6,0.185,0.509
205.74,122.46984,0,0.3,0.3,-53.6,0,0
218.44,131.54168,4.9,3.7,0.4,-6.4,0.153,0.501
203.2,116.119552,5.8,3.5,0.7,-2.3,0.184,0.501
213.36,117.93392,2.8,2.2,0.1,-5.4,0.169,0.488
213.36,117.93392,5.7,4.5,1.1,7.6,0.126,0.521
185.42,83.91452,3.4,1.3,2.4,-13.7,0.15,0.431
208.28,122.46984,2,1.5,0.4,-2.6,0.169,0.351
215.9,115.66596,1.5,4.5,0.4,1.4,0.065,0.424
208.28,102.0582,7.5,5,0.7,3.6,0.172,0.524
200.66,106.59412,9.8,3.2,2.6,1.4,0.191,0.472
200.66,94.347136,1.6,0.8,0.7,-0.4,0.192,0.348
198.12,99.79024,7.7,4.2,1.9,2.4,0.194,0.501
198.12,90.7184,2.6,2.5,0.9,-11.2,0.124,0.402
198.12,98.883056,21.5,3.7,4.5,0.1,0.278,0.528
205.74,93.439952,9.7,9.2,1.3,-4.5,0.147,0.525
208.28,105.233344,4,3.5,0.4,1.1,0.17,0.542
215.9,123.377024,5.4,4.2,0.5,2.1,0.216,0.506
210.82,109.769264,20.8,10.3,2,3.1,0.264,0.539
195.58,92.532768,2.3,1.1,1.4,-11.2,0.143,0.451
208.28,115.66596,6.8,5.3,0.6,-12.5,0.185,0.507
193.04,90.7184,5.6,2,0.8,-3.9,0.218,0.522
193.04,81.192968,5.8,1.3,2.3,-5.8,0.183,0.477
210.82,109.769264,2.1,3.6,0.7,0.9,0.133,0.394
187.96,88.45044,9.5,2.6,4.7,-9.8,0.209,0.472
185.42,86.18248,12.1,2.8,8.3,-3.6,0.201,0.501
187.96,81.64656,17.2,3.4,7.4,-2.2,0.224,0.549
198.12,99.79024,15.6,4.6,3,-3.1,0.228,0.501
193.04,96.161504,18.7,6.3,8.9,7.6,0.255,0.526
218.44,127.00576,5.4,6.2,0.7,8.3,0.125,0.531
210.82,108.86208,4.2,3.5,0.4,-11.7,0.144,0.445
193.04,95.25432,6,2.9,1.3,3.5,0.148,0.519
205.74,108.86208,1.8,2,0.6,-4.2,0.098,0.449
205.74,95.25432,5.7,3.1,1,-4.1,0.128,0.531
198.12,95.25432,18.5,4.8,3.7,-2.5,0.232,0.551
185.42,81.64656,7.5,1.8,1.6,-7.7,0.227,0.447
208.28,105.233344,8.6,6,1.1,4.1,0.195,0.462
185.42,86.18248,5.5,2.1,2.8,-1.3,0.173,0.505
165.1,60.327736,8.8,1.3,3.3,3.1,0.206,0.543
208.28,104.32616,12.5,6.5,1.2,-3.7,0.243,0.503
198.12,92.98636,9.4,4.3,4.7,9.4,0.126,0.59
205.74,104.32616,13.4,9,1.8,-5.6,0.213,0.513
200.66,104.32616,0,1,0,-64.4,0.3,0
203.2,99.79024,7.9,5.3,1.3,-11.7,0.211,0.486
203.2,113.398,1,0,0,-38.6,0.17,0.129
213.36,111.13004,25.1,9.9,3,12.9,0.273,0.581
195.58,103.418976,9.7,3.7,1.9,1,0.203,0.512
218.44,120.20188,5.8,6.4,0.8,9.7,0.163,0.445
195.58,106.59412,3,1.8,0.7,-8.4,0.212,0.389
203.2,102.0582,6.9,4,1.3,2.7,0.158,0.485
195.58,100.697424,14.3,6.5,2,0.4,0.211,0.502
208.28,122.46984,9.4,7,1.4,6.3,0.173,0.525
185.42,92.98636,10.5,2.9,3.6,4.4,0.145,0.52
195.58,88.45044,13.9,3.5,4.3,4.4,0.194,0.556
180.34,79.3786,1.5,1.1,1.5,-9.1,0.184,0.338
195.58,95.25432,4.6,1.4,0.7,-9.8,0.216,0.444
210.82,129.27372,10.5,4.4,0.5,-6.3,0.236,0.607
185.42,79.3786,10.8,2.5,7.7,5.2,0.191,0.577
203.2,106.59412,6.7,4.6,1,13.9,0.121,0.59
213.36,126.552168,6.1,3.2,0.9,4.9,0.228,0.483
203.2,102.0582,14.5,7.1,4.2,4.6,0.242,0.568
